K3,25647.229,52187.093,38.930
SJ05,25661.440,52187.092,37.974
K1,25647.229,52187.093,38.930
K1,25743.255,52118.700,38.744
SJ05,25649.769,52113.800,38.808
K1,25743.255,52118.700,38.744
K1,25743.255,52118.700,38.744
K1,25743.255,52118.700,38.744
K1S1,25760.308,52120.933,39.419
K1S2,25772.564,52121.139,39.568
K1S3,25782.357,52120.715,39.608
K1S4,25729.697,52126.940,39.775
K1S5,25720.212,52131.143,39.948
K1S6,25704.433,52135.094,39.788
K1H1,25753.461,52123.129,39.156
K1H2,25753.795,52126.627,39.097
K1T2,25752.740,52141.599,38.853
K1T3,25752.746,52147.727,38.824
K1T4,25746.752,52145.927,38.868
K1T5,25741.249,52145.806,38.950
K1H3,25734.047,52140.013,39.457
K1H4,25728.546,52134.318,39.570
K1H5,25722.772,52139.712,39.485
K1T6,25723.314,52145.295,39.165
K1T7,25721.923,52143.517,39.100
K1T9,25705.264,52142.669,39.068
K1T11,25688.462,52141.349,39.089
K1T12,25694.196,52139.785,38.934
K1T13,25681.897,52137.610,39.154
K1T14,25679.809,52139.512,39.196
K1T15,25675.935,52126.858,38.936
K1T16,25672.915,52127.183,38.929
K1T17,25749.736,52103.415,38.590
K1T18,25751.567,52115.975,38.618
K1T19,25785.799,52116.032,44.040
K1T20,25785.885,52119.664,39.620
K1T21,25759.444,52118.777,38.527
K1T22,25762.329,52122.017,39.797
K1T23,25741.327,52124.156,39.649
K1T24,25733.774,52121.443,38.410
K1T25,25701.470,52124.892,38.727
K1T26,25678.904,52127.343,38.765
K1T27,25688.604,52129.730,39.295
K2,25688.950,52162.170,38.932
SJ05,25745.525,52136.210,38.741
SJ05,25745.520,52136.210,38.741
SJ05,25688.950,52162.170,38.932
SJ05,25649.782,52113.801,38.749
K2,25643.386,52175.714,38.948
KJ06,25760.617,52222.566,38.751
K3-1,25760.308,52120.933,39.419
K3-1,25647.299,52187.093,38.930
K3-1,25647.299,52187.093,38.930
SJ09,25715.066,52185.025,38.976
K2,25688.950,52162.170,38.932
SJ05,25649.778,52113.798,38.729
K2T28,25679.119,52171.922,38.881
K2T29,25711.039,52172.340,38.885
K2T30,25679.621,52152.590,38.874
K2T31,25709.703,52162.718,38.915
K2T32,25680.763,52162.226,38.916
K2T34,25709.300,52152.998,38.880
