K6T78,25745.900,52193.161,38.798
K6T79,25740.843,52189.951,38.828
K6T80,25746.089,52179.711,38.835
K6T81,25740.403,52183.875,38.833
K6T82,25740.577,52176.194,38.855
K6T83,25727.282,52183.653,38.820
K6T84,25752.459,52153.515,38.795
K6T85,25727.319,52178.166,38.898
K6T86,25757.938,52175.148,38.942
K6T87,25716.888,52178.011,38.850
K6T88,25714.130,52183.513,38.819
K6T89,25758.388,52207.594,39.153
K6T90,25716.183,52189.718,38.748
K6T91,25752.017,52187.258,38.750
K6T92,25716.756,52193.684,39.218
K6T93,25748.801,52186.065,38.821
K6T94,25749.409,52166.753,38.818
K6T95,25760.827,52198.639,38.873
K6T96,25765.206,52207.964,39.075
K6T97,25766.363,52207.909,39.025
K6T98,25765.264,52213.662,39.033
K6T99,25765.956,52201.898,38.852
K6T100,25766.212,52199.281,38.862
K6T101,25774.609,52201.735,38.847
K6T102,25766.807,52198.860,38.851
K6T103,25767.318,52195.900,39.133
K6T104,25781.683,52199.151,38.867
K6T105,25767.365,52192.462,39.142
K6T106,25774.251,52199.197,38.883
K6T107,25774.263,52198.098,39.383
K6T108,25776.205,52199.453,38.884
K3,25721.900,52210.076,39.000
K3,25647.229,52187.093,38.930
SJ09,25650.375,52253.465,38.970
K3,25647.229,52187.093,38.930
SJ05,25649.781,52113.798,38.747
SJ05,25649.782,52113.801,38.747
K3T109,25654.851,52182.704,38.817
K3T110,25654.944,52177.161,38.838
K3T111,25706.970,52183.268,38.839
K3T112,25658.535,52188.668,38.803
K3T113,25662.386,52190.713,38.785
K3T114,25663.821,52193.743,38.774
K3T115,25696.002,52189.228,38.812
K3T116,25669.240,52193.585,38.776
K3T117,25689.560,52189.116,38.791
K3T118,25671.058,52190.511,38.795
K3T119,25685.686,52189.044,38.779
K3T120,25674.241,52188.913,38.798
K3T121,25663.726,52197.539,38.731
K3T122,25669.286,52197.650,38.731
K3T123,25674.798,52197.727,38.781
K3T124,25646.561,52174.326,38.907
K3T125,25639.799,52175.112,38.877
K3T126,25646.291,52159.481,38.848
K3T127,25638.471,52159.978,38.838
K3T128,25647.692,52137.416,38.634
K3T129,25635.598,52149.505,38.736
K3T130,25653.082,52126.544,38.763
K3T131,25626.927,52138.677,38.589
K3T132,25653.439,52129.440,38.940
K3T133,25637.438,52174.410,39.070
K3T134,25599.781,52184.448,39.546
K3T135,25637.474,52187.886,39.068
K3T136,25604.976,52197.383,39.287
K3T137,25639.676,52194.289,38.895
K3T138,25601.952,52205.929,39.349
K3T139,25646.892,52194.512,38.886
K3T140,25633.257,52193.623,39.420
K3T141,25630.196,52167.260,39.544
K3T142,25633.403,52177.516,39.497
K3T143,25621.597,52176.155,39.535
K3T144,25602.535,52178.832,39.841
K3T145,25635.346,52210.790,41.537
K3T146,25636.847,52185.028,40.861
K3T147,25635.726,52161.981,41.584
K3T148,25588.967,52192.431,42.894
