Beijing,China,39.9167,116.333
Hanoi,Vietnam,21.0833,105.917
Vientiane,Lao People@s Democratic Republic,17.9667,102.6
Bangkok,Thailand,13.75,100.583
Singapore,Singapore,1.281,103.852
London,United Kingdom of Great Britain and Northern Ireland,51.6,-0.0833333
